,train_loss,train_acc,val_loss,val_acc
0,inf,1.5432789085215834,161.01609086990356,2.415026833631485
1,632.2558670043945,3.198389622008499,154.76498937606812,3.7567084078711988
2,607.4989292621613,4.38380675464102,150.7330129146576,4.561717352415027
3,593.9729948043823,5.681055692238873,147.52099561691284,6.529516994633274
4,586.7930829524994,6.396779244016998,145.38842964172363,7.334525939177102
5,595.9241559505463,6.374412883023932,145.82847332954407,7.8711985688729875
6,580.4617149829865,6.732274658912995,142.73419666290283,7.155635062611807
7,575.5513644218445,6.9783046298367255,141.1820204257965,8.050089445438283
8,569.8250024318695,7.671661820621785,143.095534324646,7.2450805008944545
9,563.9207398891449,7.8505927085663165,144.60638213157654,8.228980322003578
10,561.478168964386,7.51509729367032,138.23916935920715,7.9606440071556355
11,557.7052175998688,8.253187206441511,145.44596123695374,8.228980322003578
12,564.3177757263184,7.626929098635652,136.94409251213074,9.66010733452594
13,558.0962116718292,8.342652650413777,144.00049924850464,6.618962432915922
14,549.0599570274353,8.76761350928204,135.7919464111328,8.676207513416816
15,559.7264795303345,8.365019011406844,153.48553705215454,5.992844364937389
16,564.0096688270569,7.917691791545516,133.69055771827698,8.586762075134168
17,541.3705267906189,9.036009841198837,132.40509366989136,9.30232558139535
18,543.9254412651062,8.70051442630284,133.26051998138428,9.66010733452594
19,531.6741330623627,9.595168866025498,131.8675515651703,10.286225402504472
20,527.3600354194641,9.908297919928428,135.77495765686035,9.123434704830053
21,528.463292837143,10.109595168866026,131.04097247123718,11.001788908765652
22,528.0176746845245,10.042496085886826,129.57327342033386,11.359570661896242
23,531.8711521625519,9.505703422053232,129.4981234073639,10.912343470483005
24,588.9511947631836,7.269067322746589,150.06800842285156,6.350626118067979
25,599.1560750007629,6.844106463878327,143.77932333946228,7.2450805008944545
26,602.7857863903046,6.799373741892194,148.43178033828735,7.334525939177102
27,572.3372433185577,8.32028628942071,140.5515856742859,9.481216457960643
28,557.9466688632965,9.70700067099083,151.40276050567627,7.602862254025045
29,532.470547914505,9.975397002907627,128.76204776763916,10.73345259391771
30,554.7650728225708,9.103108924178036,131.3225293159485,10.465116279069768
